 _id,question_text,question_picture,arabic_translation_of_question,chapter_name,duration,justification,hint,arabic_translation_of_hint,arabic_translation_of_justification,subject,skill_profile,question_type,sub_topic,content_type,difficulty_level,option_A,option_B,option_C,option_D,correct_options,O_question_text,O_arabic_translation_of_question,O_hintO_arabic_translation_of_hint,,O_justification,O_arabic_translation_of_justification,O_option_A,O_option_B,O_option_C,O_option_D,reviewed,Grade,question_class
,The rational number @\frac{72}{132}@ in the lowest form is __________.,,,5b742ff71c9d44793ed1567c,,"@\frac{72}{132}@
 = @\frac{12x6}{12x11}@
 = @\frac{6}{11}@",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{7}{13}@,@\frac{5}{17}@,@\frac{4}{15}@,@\frac{6}{11}@,D,,,,,,,,,,,,8,mcq
,"Among the given rational numbers, which one has the greatest value?",,,5b742ff71c9d44793ed1567c,,"@\frac{1}{8}@ = 0.125
@\frac{1}{4}@= 0.25
@\frac{1}{3}@ = 0.33
@\frac{1}{8}@ = 0.125
 Among these 0.33 is greater so @\frac{1}{3}@ is the greatest.",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{1}{8}@,@\frac{1}{4}@,@\frac{1}{3}@,@\frac{1}{8}@,C,,,,,,,,,,,,8,mcq
,@\frac{-5}{16}@ __________ @\frac{-15}{24}@.,,,5b742ff71c9d44793ed1567c,,"@\frac{-5}{16}@ __________ @\frac{-15}{24}@
 @\frac{-5}{16}@ =-0.315
 @\frac{-15}{24}@ =-0.625
 as-0.315 > than-0.625
 
 @\frac{-5}{16}@ > @\frac{-15}{24}@",,,,math,number_skills,practice,Rational numbers,html,easy,>,<,=,Cannot be determined,A,,,,,,,,,,,,8,mcq
,"Among the given statements, which is true?",,,5b742ff71c9d44793ed1567c,,"In number line positive numbers always lie on the right side of zero, negative numbers always lie on the left side of zero.
 In the 3rd option
 @\frac{-8}{-18}@ = @\frac{4}{9}@
 So, it lies to the right side of the number line.",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{(-5)}{(-16)}@ lies to the left of zero on the number line,@\frac{14}{45}@ lies to the left of zero on the number line,@\frac{(-8)}{(-18)}@ lies to the right of zero on the number line,@\frac{-5}{23}@ lies to the right of zero on the number line,C,,,,,,,,,,,,8,mcq
,@\frac{-5}{16}@+@\frac{7}{24}@ = __________.,,,5b742ff71c9d44793ed1567c,,"@\frac{-5}{16}@+@\frac{7}{24}@
 LCM of denominator is 48, so
 = @\frac{(-5x3)}{16x3}@+@\frac{7x2}{24x2}@
 = @\frac{-15}{48}@+@\frac{14}{48}@
 = @\frac{(-15+14)}{48}@
 = @\frac{-1}{48}@",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{-1}{48}@,@\frac{5}{24}@,@\frac{-2}{49}@,@\frac{-1}{24}@,A,,,,,,,,,,,,8,mcq
,@\frac{-13}{14}@-@\frac{-6}{7}@ = __________.,,,5b742ff71c9d44793ed1567c,,"@\frac{-13}{14}@-@\frac{-6}{7}@
 LCM of denominator is 14, so
 = @\frac{-13}{14}@-@\frac{(-6x2)}{7x2}@
 =-@\frac{13}{14}@-@\frac{-12}{14}@
 =-@\frac{13}{14}@ @\frac{12}{14}@
 = (-13+@\frac{12)}{14}@
 = (-1 @\frac{)}{14}@",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{-7}{48}@,@\frac{-2}{7}@,@\frac{-1}{14}@,@\frac{-3}{19}@,C,,,,,,,,,,,,8,mcq
,@\frac{11}{9}@ X @\frac{-7}{3}@ = __________.,,,5b742ff71c9d44793ed1567c,,"@\frac{11}{9}@ X @\frac{-7}{3}@
 = @\frac{11}{9}@ X-@\frac{7}{3}@
 = @\frac{11x-7}{9x3}@
 =-@\frac{77}{27}@",,,,math,number_skills,practice,Rational numbers,html,easy,-@\frac{77}{27}@,@\frac{64}{27}@,@\frac{83}{27}@,@\frac{97}{27}@,A,,,,,,,,,,,,8,mcq
,@\frac{-13}{9}@ ÷@\frac{-26}{27}@ = __________.,,,5b742ff71c9d44793ed1567c,,"@\frac{-13}{9}@ ÷@\frac{-26}{27}@
 = @\frac{-13}{9}@x-@\frac{27}{26}@
 = @\frac{-13x-27}{9x26 }@
 = @\frac{13x9x3}{9x13x2}@
 = ( 3 @\frac{)}{2}@
 = @\frac{3}{2}@",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{2}{3}@,@\frac{3}{2}@,@\frac{-3}{2}@,@\frac{-2}{3}@,B,,,,,,,,,,,,8,mcq
,The additive inverse of-@\frac{3}{11}@ is __________.,,,5b742ff71c9d44793ed1567c,,"An additive inverse is the opposite of a number.
 Hence, additive inverse of-@\frac{3}{11}@ is @\frac{3}{11}@",,,,math,number_skills,practice,Rational numbers,html,easy,@\frac{11}{3}@,@\frac{3}{11}@,-@\frac{11}{3}@,11,B,,,,,,,,,,,,8,mcq
,The multiplicative inverse of-7 is __________.,,,5b742ff71c9d44793ed1567c,,"A multiplicative inverse is a reciprocal.
 Hence, multiplicative inverse of-7 is-@\frac{1}{7}@",,,,math,number_skills,practice,Rational numbers,html,easy,7,@\frac{1}{7}@,17,-@\frac{1}{7}@,D,,,,,,,,,,,,8,mcq
